,id,operation_time,code,category,timeout,answer,status
534,535,2020-01-26 01:16:40.744538,14149-14479-164,None,1.914847,bisys.OtherException: BIS-01648: OtherError:Неверный формат или значение суммы к зачислению вне допустимого диапазона,Format
535,536,2020-01-26 01:16:40.804990,14149-14479-105,None,0.045305,provider == null,Услга не выведена
536,537,2020-01-26 01:16:41.517419,14149-14479-291,None,0.692461,bisys.OtherException: BIS-01648: OtherError:Неверный формат или значение суммы к зачислению вне допустимого диапазона,Format
537,538,2020-01-26 01:16:41.577049,14149-14479-299,None,0.045832,provider == null,Услга не выведена
538,539,2020-01-26 01:16:41.636003,14149-14479-290,None,0.044318,provider == null,Услга не выведена
539,540,2020-01-26 01:16:41.693343,14149-14479-296,None,0.043947,provider == null,Услга не выведена
540,541,2020-01-26 01:16:41.755590,14149-14479-293,None,0.045738,provider == null,Услга не выведена
541,542,2020-01-26 01:16:41.814365,14149-14479-280,None,0.043768,provider == null,Услга не выведена
542,543,2020-01-26 01:16:41.873659,14149-14479-281,None,0.045081,provider == null,Услга не выведена
543,544,2020-01-26 01:16:41.933552,14149-14479-282,None,0.04583,provider == null,Услга не выведена
544,545,2020-01-26 01:16:41.991908,14149-14479-283,None,0.044384,provider == null,Услга не выведена
545,546,2020-01-26 01:16:42.048510,14149-14479-284,None,0.042898,provider == null,Услга не выведена
546,547,2020-01-26 01:16:42.106125,14149-14479-285,None,0.043101,provider == null,Услга не выведена
547,548,2020-01-26 01:16:42.163413,14149-14479-286,None,0.044307,provider == null,Услга не выведена
548,549,2020-01-26 01:16:42.224780,14149-14479-287,None,0.045324,provider == null,Услга не выведена
549,550,2020-01-26 01:16:42.284674,14149-14479-288,None,0.04366,provider == null,Услга не выведена
550,551,2020-01-26 01:16:42.341522,14149-14479-297,None,0.04302,provider == null,Услга не выведена
551,552,2020-01-26 01:16:42.399863,14149-14479-294,None,0.042853,provider == null,Услга не выведена
552,553,2020-01-26 01:16:42.458034,14149-14479-247,None,0.044077,provider == null,Услга не выведена
553,554,2020-01-26 01:16:42.515979,14149-14479-248,None,0.04253,provider == null,Услга не выведена
554,555,2020-01-26 01:16:42.572435,14149-14479-249,None,0.043034,provider == null,Услга не выведена
555,556,2020-01-26 01:16:42.629779,14149-14479-250,None,0.043027,provider == null,Услга не выведена
556,557,2020-01-26 01:16:42.689600,14149-14479-236,None,0.045542,provider == null,Услга не выведена
557,558,2020-01-26 01:16:42.746275,14149-14479-238,None,0.043055,provider == null,Услга не выведена
558,559,2020-01-26 01:16:42.805404,14149-14479-191,None,0.044451,provider == null,Услга не выведена
559,560,2020-01-26 01:16:42.871758,14149-14479-182,None,0.053552,provider == null,Услга не выведена
560,561,2020-01-26 01:16:42.941093,14149-14479-183,None,0.051439,provider == null,Услга не выведена
561,562,2020-01-26 01:16:42.999194,14149-14479-125,None,0.044556,provider == null,Услга не выведена
562,563,2020-01-26 01:16:43.057402,14149-14479-129,None,0.043555,provider == null,Услга не выведена
563,564,2020-01-26 01:16:43.114228,14149-14479-169,None,0.042749,provider == null,Услга не выведена
564,565,2020-01-26 01:16:43.174210,14149-14479-262,None,0.045851,provider == null,Услга не выведена
565,566,2020-01-26 01:16:43.234713,14149-14479-263,None,0.0456,provider == null,Услга не выведена
566,567,2020-01-26 01:16:43.291959,14149-14479-264,None,0.043893,provider == null,Услга не выведена
567,568,2020-01-26 01:16:43.352771,14149-14479-265,None,0.045655,provider == null,Услга не выведена
568,569,2020-01-26 01:16:43.409517,14149-14479-266,None,0.043162,provider == null,Услга не выведена
569,570,2020-01-26 01:16:43.468816,14149-14479-267,None,0.045281,provider == null,Услга не выведена
570,571,2020-01-26 01:16:43.522859,14149-14479-268,None,0.043884,provider == null,Услга не выведена
571,572,2020-01-26 01:16:43.574552,14149-14479-269,None,0.042424,provider == null,Услга не выведена
572,573,2020-01-26 01:16:43.634473,14149-14479-270,None,0.045398,provider == null,Услга не выведена
573,574,2020-01-26 01:16:43.689905,14149-14479-271,None,0.04173,provider == null,Услга не выведена
574,575,2020-01-26 01:16:43.742687,14149-14479-272,None,0.042276,provider == null,Услга не выведена
575,576,2020-01-26 01:16:43.793841,14149-14479-273,None,0.042509,provider == null,Услга не выведена
576,577,2020-01-26 01:16:43.848456,14149-14479-274,None,0.044687,provider == null,Услга не выведена
577,578,2020-01-26 01:16:43.902048,14149-14479-275,None,0.042767,provider == null,Услга не выведена
578,579,2020-01-26 01:16:43.954402,14149-14479-276,None,0.043108,provider == null,Услга не выведена
579,580,2020-01-26 01:16:44.008473,14149-14479-277,None,0.044144,provider == null,Услга не выведена
580,581,2020-01-26 01:16:44.062637,14149-14479-278,None,0.043408,provider == null,Услга не выведена
581,582,2020-01-26 01:16:44.115450,14149-14479-279,None,0.042309,provider == null,Услга не выведена
582,583,2020-01-26 01:16:44.167505,14149-14479-289,None,0.043463,provider == null,Услга не выведена
583,584,2020-01-26 01:16:44.218919,14149-14479-298,None,0.041765,provider == null,Услга не выведена
584,585,2020-01-26 01:16:44.271722,14149-14479-292,None,0.04335,provider == null,Услга не выведена
585,586,2020-01-26 01:16:44.323476,14149-14479-306,None,0.042543,provider == null,Услга не выведена
586,587,2020-01-26 01:16:44.382132,14149-14479-307,None,0.045304,provider == null,Услга не выведена
587,588,2020-01-26 01:16:45.139885,14149-14479-304,None,0.738506,bisys.OtherException: BIS-01648: OtherError:Неверный формат или значение суммы к зачислению вне допустимого диапазона,Format
588,589,2020-01-26 01:16:45.199750,14149-14479-308,None,0.044723,provider == null,Услга не выведена
589,590,2020-01-26 01:16:45.258811,14149-14479-10,None,0.045678,provider == null,Услга не выведена
590,591,2020-01-26 01:16:45.317350,14149-14479-87,None,0.044062,provider == null,Услга не выведена
591,592,2020-01-26 01:16:45.375129,14149-14479-95,None,0.043817,provider == null,Услга не выведена
592,593,2020-01-26 01:16:45.435892,14149-14479-96,None,0.043984,provider == null,Услга не выведена
